Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","<2.5"
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","<2.5"
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","<2.5"
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","<2.5"
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","<2.5"
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","<2.5"
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","<2.5"
"FS","Suite of Food Security Indicators","250","France","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","<2.5"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","18.1"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","19.7"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","21.2"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","21.7"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","21.1"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","18.9"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","16.6"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","15.3"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","15"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","14.6"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","14.2"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","13.4"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","12.8"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","12.6"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","12.1"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","11.6"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","10.6"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","10.5"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","11.8"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","13.4"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","14.3"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","13.5"
"FS","Suite of Food Security Indicators","356","India","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","12"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","8.7"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","8.7"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","8.8"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","8.9"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","9.1"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","9.2"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","9.4"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","9.6"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","9.9"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","10.4"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","11.1"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","11.7"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","11.4"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","11.1"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","10.7"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","10.8"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","11.5"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","12.1"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","14.3"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","15.8"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","17.6"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","18.7"
"FS","Suite of Food Security Indicators","566","Nigeria","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","19.9"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","<2.5"
"FS","Suite of Food Security Indicators","840","United States of America","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20222024","2022-2024","<2.5"
